Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds
29382-35775-2024-12-31,Nevada vs Utah State,Nevada -2.5,Point Spread,BetOnline,-2.5,-115.0
29382-35775-2024-12-31,Nevada vs Utah State,Utah State +2.5,Point Spread,BetOnline,2.5,-105.0
29382-35775-2024-12-31,Nevada vs Utah State,Over 144.5,Total Points,BetOnline,144.5,-105.0
29382-35775-2024-12-31,Nevada vs Utah State,Under 144.5,Total Points,BetOnline,144.5,-115.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State -6.5,Point Spread,BetOnline,-6.5,-110.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming +6.5,Point Spread,BetOnline,6.5,-110.0
28802-29071-2024-12-31,Wyoming vs Boise State,Over 137.5,Total Points,BetOnline,137.5,-110.0
28802-29071-2024-12-31,Wyoming vs Boise State,Under 137.5,Total Points,BetOnline,137.5,-110.0
40600-52315-2024-12-31,Southern Indiana vs Morehead State,Morehead State +1.5,Point Spread,BetOnline,1.5,-110.0
40600-52315-2024-12-31,Southern Indiana vs Morehead State,Southern Indiana -1.5,Point Spread,BetOnline,-1.5,-110.0
40600-52315-2024-12-31,Southern Indiana vs Morehead State,Over 140,Total Points,BetOnline,140.0,-110.0
40600-52315-2024-12-31,Southern Indiana vs Morehead State,Under 140,Total Points,BetOnline,140.0,-110.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Fresno State +15.5,Point Spread,BetOnline,15.5,-110.0
87393-21650-2024-12-31,Fresno State vs New Mexico,New Mexico -15.5,Point Spread,BetOnline,-15.5,-110.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Over 160,Total Points,BetOnline,160.0,-110.0
87393-21650-2024-12-31,Fresno State vs New Mexico,Under 160,Total Points,BetOnline,160.0,-110.0
36652-21229-2024-12-31,Providence vs Marquette,Marquette -5,Point Spread,BetOnline,-5.0,-110.0
36652-21229-2024-12-31,Providence vs Marquette,Providence +5,Point Spread,BetOnline,5.0,-110.0
36652-21229-2024-12-31,Providence vs Marquette,Over 142.5,Total Points,BetOnline,142.5,-110.0
36652-21229-2024-12-31,Providence vs Marquette,Under 142.5,Total Points,BetOnline,142.5,-110.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 63.5,Team Total,DraftKings,63.5,-800.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 64.5,Team Total,DraftKings,64.5,-650.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 65.5,Team Total,DraftKings,65.5,-500.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 66.5,Team Total,DraftKings,66.5,-425.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 67.5,Team Total,DraftKings,67.5,-340.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 68.5,Team Total,DraftKings,68.5,-275.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 69.5,Team Total,DraftKings,69.5,-230.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 70.5,Team Total,DraftKings,70.5,-195.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 71.5,Team Total,DraftKings,71.5,-165.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 72.5,Team Total,DraftKings,72.5,-140.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 74.5,Team Total,DraftKings,74.5,100.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 75.5,Team Total,DraftKings,75.5,120.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 76.5,Team Total,DraftKings,76.5,145.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 77.5,Team Total,DraftKings,77.5,170.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 78.5,Team Total,DraftKings,78.5,200.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 79.5,Team Total,DraftKings,79.5,230.0
29382-35775-2024-12-31,Nevada vs Utah State,Nevada Over 80.5,Team Total,DraftKings,80.5,270.0
